Turn All Type1 Type2 Type3 Type4 A
77 107 107 0 0 0 106
78 108 108 0 0 0 107
79 109 109 0 0 0 108
80 109 109 0 0 0 108
81 109 109 0 0 0 108
82 109 109 0 0 0 108
83 109 109 0 0 0 108
84 110 110 0 0 0 109
85 111 111 0 0 0 110
86 113 113 0 0 0 112
87 114 114 0 0 0 113
88 114 114 0 0 0 113
89 117 117 0 0 0 116
90 117 117 0 0 0 116
91 120 120 0 0 0 119
92 122 122 0 0 0 121
93 123 123 0 0 0 122
94 123 123 0 0 0 122
95 125 125 0 0 0 124
96 125 125 0 0 0 124
97 126 126 0 0 0 125
98 127 127 0 0 0 126
99 128 128 0 0 0 127
100 132 132 0 0 0 131
101 136 136 0 0 0 135
102 138 138 0 0 0 137
103 138 138 0 0 0 137
104 138 138 0 0 0 137
105 140 140 0 0 0 139
106 143 143 0 0 0 142
107 145 145 0 0 0 144
108 147 147 0 0 0 146
109 147 147 0 0 0 146
110 147 147 0 0 0 146
111 150 150 0 0 0 149
112 151 151 0 0 0 150
113 152 152 0 0 0 151
114 153 153 0 0 0 152
115 154 154 0 0 0 153
116 155 155 0 0 0 154
117 155 155 0 0 0 154
118 156 156 0 0 0 155
119 157 157 0 0 0 156
120 159 159 0 0 0 158
121 162 162 0 0 0 161
122 163 163 0 0 0 162
123 164 164 0 0 0 163
124 167 167 0 0 0 166
125 168 168 0 0 0 167
126 169 169 0 0 0 168
127 172 172 0 0 0 171
128 173 173 0 0 0 172
129 176 176 0 0 0 175
130 177 177 0 0 0 176
131 178 178 0 0 0 177
132 180 180 0 0 0 179
133 181 181 0 0 0 180
134 182 182 0 0 0 181
135 184 184 0 0 0 183
136 187 187 0 0 0 186
137 190 190 0 0 0 189
138 191 191 0 0 0 190
139 191 191 0 0 0 190
140 193 193 0 0 0 192
141 193 193 0 0 0 192
142 193 193 0 0 0 192
143 193 193 0 0 0 192
144 195 195 0 0 0 194
145 195 195 0 0 0 194
146 195 195 0 0 0 194
147 196 196 0 0 0 195
148 197 197 0 0 0 196
149 199 199 0 0 0 198
150 201 201 0 0 0 200
151 203 203 0 0 0 202
152 203 203 0 0 0 202
153 205 205 0 0 0 204
154 205 205 0 0 0 204
155 205 205 0 0 0 204
156 205 205 0 0 0 204
157 206 206 0 0 0 205
158 206 206 0 0 0 205
159 207 207 0 0 0 206
160 208 208 0 0 0 207
161 209 209 0 0 0 208
162 210 210 0 0 0 209
163 210 210 0 0 0 209
164 210 210 0 0 0 209
165 210 210 0 0 0 209
166 210 210 0 0 0 209
167 210 210 0 0 0 209
168 210 210 0 0 0 209
169 212 212 0 0 0 211
170 212 212 0 0 0 211
171 212 212 0 0 0 211
172 213 213 0 0 0 212
173 214 214 0 0 0 213
174 214 214 0 0 0 213
175 216 216 0 0 0 215
176 216 216 0 0 0 215
177 216 216 0 0 0 215
178 218 218 0 0 0 217
179 218 218 0 0 0 217
180 221 221 0 0 0 220
181 221 221 0 0 0 220
182 223 223 0 0 0 222
183 224 224 0 0 0 223
184 224 224 0 0 0 223
185 224 224 0 0 0 223
186 225 225 0 0 0 224
187 225 225 0 0 0 224
188 226 226 0 0 0 225
189 226 226 0 0 0 225
190 226 226 0 0 0 225
191 226 226 0 0 0 225
192 227 227 0 0 0 226
193 228 228 0 0 0 227
194 229 229 0 0 0 228
195 230 230 0 0 0 229
196 230 230 0 0 0 229
197 230 230 0 0 0 229
198 231 231 0 0 0 230
199 232 232 0 0 0 231
200 232 232 0 0 0 231
201 233 233 0 0 0 232
202 234 234 0 0 0 233
203 234 234 0 0 0 233
204 235 235 0 0 0 234
205 235 235 0 0 0 234
206 235 235 0 0 0 234
207 236 236 0 0 0 235
208 238 238 0 0 0 237
209 239 239 0 0 0 238
210 240 240 0 0 0 239
211 240 240 0 0 0 239
212 241 241 0 0 0 240
213 242 242 0 0 0 241
214 242 242 0 0 0 241
215 243 243 0 0 0 242
216 244 244 0 0 0 243
217 244 244 0 0 0 243
218 244 244 0 0 0 243
219 244 244 0 0 0 243
220 244 244 0 0 0 243
221 244 244 0 0 0 243
222 246 246 0 0 0 245
223 246 246 0 0 0 245
224 246 246 0 0 0 245
225 246 246 0 0 0 245
226 246 246 0 0 0 245
227 246 246 0 0 0 245
228 246 246 0 0 0 245
229 246 246 0 0 0 245
230 246 246 0 0 0 245
231 246 246 0 0 0 245
232 247 247 0 0 0 246
233 249 249 0 0 0 248
234 249 249 0 0 0 248
235 249 249 0 0 0 248
236 249 249 0 0 0 248
237 251 251 0 0 0 250
238 251 251 0 0 0 250
239 251 251 0 0 0 250
240 251 251 0 0 0 250
241 251 251 0 0 0 250
242 251 251 0 0 0 250
243 251 251 0 0 0 250
244 251 251 0 0 0 250
245 251 251 0 0 0 250
246 251 251 0 0 0 250
247 251 251 0 0 0 250
248 252 252 0 0 0 251
249 252 252 0 0 0 251
250 252 252 0 0 0 251
251 252 252 0 0 0 251
252 252 252 0 0 0 251
253 252 252 0 0 0 251
254 252 252 0 0 0 251
255 252 252 0 0 0 251
256 252 252 0 0 0 251
257 252 252 0 0 0 251
258 252 252 0 0 0 251
259 252 252 0 0 0 251
260 252 252 0 0 0 251
261 252 252 0 0 0 251
262 252 252 0 0 0 251
263 252 252 0 0 0 251
264 252 252 0 0 0 251
265 252 252 0 0 0 251
266 252 252 0 0 0 251
267 252 252 0 0 0 251
268 252 252 0 0 0 251
269 252 252 0 0 0 251
270 252 252 0 0 0 251
271 252 252 0 0 0 251
272 252 252 0 0 0 251
273 252 252 0 0 0 251
274 252 252 0 0 0 251
275 252 252 0 0 0 251
276 252 252 0 0 0 251
277 252 252 0 0 0 251
278 252 252 0 0 0 251
279 252 252 0 0 0 251
280 252 252 0 0 0 251
281 252 252 0 0 0 251
282 252 252 0 0 0 251
283 252 252 0 0 0 251
284 252 252 0 0 0 251
285 252 252 0 0 0 251
286 252 252 0 0 0 251
287 252 252 0 0 0 251
288 252 252 0 0 0 251
289 253 253 0 0 0 252
290 253 253 0 0 0 252
291 253 253 0 0 0 252
292 253 253 0 0 0 252
293 253 253 0 0 0 252
294 253 253 0 0 0 252
295 253 253 0 0 0 252
296 253 253 0 0 0 252
297 253 253 0 0 0 252
298 253 253 0 0 0 252
299 253 253 0 0 0 252
300 253 253 0 0 0 252
301 253 253 0 0 0 252
302 254 254 0 0 0 253
303 254 254 0 0 0 253
304 254 254 0 0 0 253
305 254 254 0 0 0 253
306 254 254 0 0 0 253
307 255 255 0 0 0 254
308 255 255 0 0 0 254
309 255 255 0 0 0 254
310 255 255 0 0 0 254
311 255 255 0 0 0 254
312 256 256 0 0 0 255
313 256 256 0 0 0 255
314 256 256 0 0 0 255
315 256 256 0 0 0 255
316 256 256 0 0 0 255
317 256 256 0 0 0 255
318 256 256 0 0 0 255
319 256 256 0 0 0 255
320 256 256 0 0 0 255
321 256 256 0 0 0 255
322 256 256 0 0 0 255
323 256 256 0 0 0 255
324 256 256 0 0 0 255
325 256 256 0 0 0 255
326 256 256 0 0 0 255
327 256 256 0 0 0 255
328 256 256 0 0 0 255
329 257 257 0 0 0 256
330 257 257 0 0 0 256
331 258 258 0 0 0 257
332 258 258 0 0 0 257
333 258 258 0 0 0 257
334 258 258 0 0 0 257
335 258 258 0 0 0 257
336 258 258 0 0 0 257
337 258 258 0 0 0 257
338 258 258 0 0 0 257
339 258 258 0 0 0 257
340 258 258 0 0 0 257
341 258 258 0 0 0 257
342 258 258 0 0 0 257
343 258 258 0 0 0 257
344 258 258 0 0 0 257
345 258 258 0 0 0 257
346 258 258 0 0 0 257
347 258 258 0 0 0 257
348 258 258 0 0 0 257
349 258 258 0 0 0 257
350 258 258 0 0 0 257
351 258 258 0 0 0 257
352 258 258 0 0 0 257
353 258 258 0 0 0 257
354 258 258 0 0 0 257
355 258 258 0 0 0 257
356 258 258 0 0 0 257
357 259 259 0 0 0 258
358 259 259 0 0 0 258
359 259 259 0 0 0 258
360 259 259 0 0 0 258
361 259 259 0 0 0 258
362 259 259 0 0 0 258
363 259 259 0 0 0 258
364 259 259 0 0 0 258
365 259 259 0 0 0 258
366 259 259 0 0 0 258
367 259 259 0 0 0 258
368 259 259 0 0 0 258
369 259 259 0 0 0 258
370 259 259 0 0 0 258
371 259 259 0 0 0 258
372 259 259 0 0 0 258
373 259 259 0 0 0 258
374 259 259 0 0 0 258
375 259 259 0 0 0 258
376 259 259 0 0 0 258
377 259 259 0 0 0 258
378 259 259 0 0 0 258
379 259 259 0 0 0 258
380 259 259 0 0 0 258
381 259 259 0 0 0 258
382 259 259 0 0 0 258
383 259 259 0 0 0 258
384 259 259 0 0 0 258
385 259 259 0 0 0 258
386 259 259 0 0 0 258
387 259 259 0 0 0 258
388 259 259 0 0 0 258
389 259 259 0 0 0 258
390 259 259 0 0 0 258
391 259 259 0 0 0 258
392 259 259 0 0 0 258
393 259 259 0 0 0 258
394 259 259 0 0 0 258
395 259 259 0 0 0 258
396 259 259 0 0 0 258
397 259 259 0 0 0 258
398 259 259 0 0 0 258
399 259 259 0 0 0 258
400 259 259 0 0 0 258
401 259 259 0 0 0 258
402 259 259 0 0 0 258
403 259 259 0 0 0 258
404 259 259 0 0 0 258
405 259 259 0 0 0 258
406 259 259 0 0 0 258
407 259 259 0 0 0 258
408 259 259 0 0 0 258
409 259 259 0 0 0 258
410 259 259 0 0 0 258
411 259 259 0 0 0 258
412 259 259 0 0 0 258
413 259 259 0 0 0 258
414 259 259 0 0 0 258
415 259 259 0 0 0 258
416 259 259 0 0 0 258
417 259 259 0 0 0 258
418 259 259 0 0 0 258
419 259 259 0 0 0 258
420 259 259 0 0 0 258
421 259 259 0 0 0 258
422 259 259 0 0 0 258
423 259 259 0 0 0 258
424 259 259 0 0 0 258
425 259 259 0 0 0 258
426 259 259 0 0 0 258
427 259 259 0 0 0 258
428 259 259 0 0 0 258
429 259 259 0 0 0 258
430 259 259 0 0 0 258
431 259 259 0 0 0 258
432 259 259 0 0 0 258
433 259 259 0 0 0 258
434 259 259 0 0 0 258
435 259 259 0 0 0 258
436 259 259 0 0 0 258
437 259 259 0 0 0 258
438 259 259 0 0 0 258
439 259 259 0 0 0 258
440 259 259 0 0 0 258
441 259 259 0 0 0 258
442 259 259 0 0 0 258
443 259 259 0 0 0 258
444 259 259 0 0 0 258
445 259 259 0 0 0 258
446 259 259 0 0 0 258
447 259 259 0 0 0 258
448 259 259 0 0 0 258
449 259 259 0 0 0 258
450 259 259 0 0 0 258
451 259 259 0 0 0 258
452 259 259 0 0 0 258
453 259 259 0 0 0 258
454 259 259 0 0 0 258
455 259 259 0 0 0 258
456 259 259 0 0 0 258
457 259 259 0 0 0 258
458 259 259 0 0 0 258
459 259 259 0 0 0 258
460 259 259 0 0 0 258
461 259 259 0 0 0 258
462 259 259 0 0 0 258
463 259 259 0 0 0 258
464 259 259 0 0 0 258
465 259 259 0 0 0 258
466 259 259 0 0 0 258
467 259 259 0 0 0 258
468 259 259 0 0 0 258
469 259 259 0 0 0 258
470 259 259 0 0 0 258
471 259 259 0 0 0 258
472 259 259 0 0 0 258
473 259 259 0 0 0 258
474 259 259 0 0 0 258
475 259 259 0 0 0 258
476 259 259 0 0 0 258
477 259 259 0 0 0 258
478 259 259 0 0 0 258
479 259 259 0 0 0 258
480 259 259 0 0 0 258
481 259 259 0 0 0 258
482 259 259 0 0 0 258
483 259 259 0 0 0 258
484 259 259 0 0 0 258
485 259 259 0 0 0 258
486 259 259 0 0 0 258
487 259 259 0 0 0 258
488 259 259 0 0 0 258
489 259 259 0 0 0 258
490 259 259 0 0 0 258
491 259 259 0 0 0 258
492 259 259 0 0 0 258
493 259 259 0 0 0 258
494 259 259 0 0 0 258
495 259 259 0 0 0 258
496 259 259 0 0 0 258
497 259 259 0 0 0 258
498 259 259 0 0 0 258
499 259 259 0 0 0 258
